BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
C4:12:F5:85:12:7C;32.10343;35.20872;Si_5G;WPA2;-76;Infra;64;-74;2017/10/23;14:34:16
C4:12:F5:85:12:7D;32.10344;35.20870;Si_2.4G;WPA2;-77;Infra;4;-75;2017/10/23;14:34:18
C6:0B:CB:45:F6:5B;NaN;NaN;Redmi;WPA2;-5084;Infra;6;-85;2017/10/23;13:03:21
D0:0F:6D:C0:FE:7F;32.10347;35.20814;natali;WPA2;-84;Infra;8;-83;2017/10/23;14:35:03
D0:0F:6D:F1:35:2F;32.10346;35.20819;Sveta;WPA2;-89;Infra;4;-87;2017/10/23;14:34:59
D4:61:2E:1B:39:E9;32.10267;35.20926;HUAWEI_RIO_E182;WPA2;-120;Infra;6;-75;2017/10/23;14:16:59
D4:6E:0E:3C:2C:3A;32.10346;35.20829;natali;WPA2;-93;Infra;8;-92;2017/10/23;14:34:51
D8:38:0D:05:1A:D9;32.10532;35.20662;;WPA2;-75;Infra;5;-60;2017/10/23;16:33:06
D8:38:0D:05:1A:F1;32.10514;35.20691;;WPA2;-77;Infra;5;-66;2017/10/23;16:58:38
D8:5B:2A:F5:66:C5;NaN;NaN;AndroidAP;WPA2;-5086;Infra;11;-87;2017/10/23;12:20:38
D8:5D:4C:9E:69:22;32.10305;35.20905;AUC_4_2_24;Open;-97;Infra;1;-88;2017/10/23;12:48:32
D8:FE:E3:03:5A:31;32.10347;35.20810;Moria;WPA2;-86;Infra;1;-85;2017/10/23;14:35:07
E0:B9:4D:DB:0E:DF;NaN;NaN;vYou_DDPai_Mini2;WPA2;-5089;Infra;4;-90;2017/10/23;16:03:45
E4:6F:13:73:70:16;32.10343;35.20852;ShurikWiFi;WPA2;-90;Infra;8;-89;2017/10/23;14:34:33
EC:1F:72:A8:B9:AC;NaN;NaN;AndroidAP;WPA2;-5090;Infra;6;-91;2017/10/23;16:32:16
EC:1F:72:B8:80:52;32.10347;35.20814;Wi-fi oshriel;WPA2;-88;Infra;6;-87;2017/10/23;14:35:03
EC:8C:A2:08:78:38;32.10346;35.20827;Ariel_University;Open;-77;Infra;1;-76;2017/10/23;14:34:54
EC:8C:A2:08:78:3C;32.10347;35.20812;Ariel_University;Open;-77;Infra;36;-76;2017/10/23;14:35:05
EC:8C:A2:08:78:C8;32.10305;35.20905;Ariel_University;Open;-55;Infra;6;-47;2017/10/23;12:48:54
EC:8C:A2:08:78:CC;32.10305;35.20905;Ariel_University;Open;-51;Infra;36;-43;2017/10/23;12:48:54
EC:8C:A2:08:7A:18;32.10347;35.20770;Ariel_University;Open;-68;Infra;11;-66;2017/10/23;14:35:51
EC:8C:A2:08:7A:1C;32.10357;35.20771;Ariel_University;Open;-59;Infra;48;-58;2017/10/23;14:35:59
EC:8C:A2:08:7B:88;32.10384;35.20774;Ariel_University;Open;-66;Infra;6;-65;2017/10/23;14:36:21
EC:8C:A2:08:7B:8C;32.10379;35.20774;Ariel_University;Open;-59;Infra;36;-57;2017/10/23;14:36:17
EC:8C:A2:08:90:C8;32.10352;35.20770;Ariel_University;Open;-78;Infra;6;-77;2017/10/23;14:35:55
EC:8C:A2:08:90:CC;32.10347;35.20770;Ariel_University;Open;-77;Infra;36;-75;2017/10/23;14:35:51
EC:8C:A2:08:92:48;32.10443;35.20713;Ariel_University;Open;-78;Infra;6;-75;2017/10/23;14:38:46
EC:8C:A2:08:94:18;32.10342;35.20876;Ariel_University;Open;-61;Infra;1;-60;2017/10/23;14:34:05
EC:8C:A2:08:94:1C;32.10341;35.20876;Ariel_University;Open;-59;Infra;36;-58;2017/10/23;14:33:59
EC:8C:A2:08:95:88;32.10494;35.20715;Ariel_University;Open;-83;Infra;1;-81;2017/10/23;14:39:36
EC:8C:A2:08:95:8C;32.10516;35.20715;Ariel_University;Open;-86;Infra;64;-85;2017/10/23;16:57:40
EC:8C:A2:08:99:B8;32.10532;35.20662;Ariel_University;Open;-105;Infra;11;-90;2017/10/23;16:33:06
EC:8C:A2:08:A3:38;32.10403;35.20746;Ariel_University;Open;-65;Infra;6;-63;2017/10/23;14:37:13
EC:8C:A2:08:A3:3C;32.10403;35.20746;Ariel_University;Open;-64;Infra;36;-62;2017/10/23;14:37:13
EC:8C:A2:08:A9:28;32.10384;35.20774;Ariel_University;Open;-71;Infra;11;-70;2017/10/23;14:36:21
EC:8C:A2:08:A9:2C;32.10384;35.20774;Ariel_University;Open;-66;Infra;44;-65;2017/10/23;14:36:21
EC:8C:A2:08:A9:38;32.10349;35.20783;Ariel_University;Open;-83;Infra;1;-82;2017/10/23;14:35:31
EC:8C:A2:08:A9:3C;32.10349;35.20794;Ariel_University;Open;-77;Infra;36;-76;2017/10/23;14:35:21
EC:8C:A2:08:AA:D8;32.10446;35.20713;Ariel_University;Open;-81;Infra;6;-79;2017/10/23;14:38:50
EC:8C:A2:08:AA:DC;32.10444;35.20713;Ariel_University;Open;-84;Infra;64;-82;2017/10/23;14:38:48
EC:8C:A2:08:AB:D8;32.10396;35.20738;Ariel_University;Open;-78;Infra;1;-76;2017/10/23;14:37:28
EC:8C:A2:08:AB:DC;32.10396;35.20738;Ariel_University;Open;-84;Infra;60;-82;2017/10/23;14:37:26
EC:8C:A2:08:AD:E8;32.10446;35.20713;Ariel_University;Open;-87;Infra;6;-85;2017/10/23;14:38:50
EC:8C:A2:08:AD:EC;32.10437;35.20714;Ariel_University;Open;-89;Infra;36;-87;2017/10/23;14:38:40
EC:8C:A2:08:AE:38;32.10531;35.20663;Ariel_University;Open;-94;Infra;1;-80;2017/10/23;16:33:18
EC:8C:A2:08:F3:8C;32.10374;35.20774;Ariel_University;Open;-86;Infra;52;-85;2017/10/23;14:36:14
EC:8C:A2:09:03:38;32.10349;35.20794;Ariel_University;Open;-79;Infra;11;-78;2017/10/23;14:35:21
EC:8C:A2:09:03:3C;32.10348;35.20798;Ariel_University;Open;-69;Infra;44;-68;2017/10/23;14:35:17
EC:8C:A2:09:0C:C8;32.10347;35.20810;Ariel_University;Open;-82;Infra;11;-81;2017/10/23;14:35:07
EC:8C:A2:09:0C:CC;32.10346;35.20824;Ariel_University;Open;-82;Infra;60;-81;2017/10/23;14:34:55
EC:8C:A2:09:86:D8;32.10344;35.20774;Ariel_University;Open;-87;Infra;1;-85;2017/10/23;14:35:39
EC:8C:A2:09:8C:38;32.10347;35.20805;Ariel_University;Open;-78;Infra;1;-77;2017/10/23;14:35:11
EC:8C:A2:09:8C:3C;32.10346;35.20821;Ariel_University;Open;-76;Infra;44;-75;2017/10/23;14:34:57
EC:8C:A2:09:8C:A8;32.10406;35.20720;Ariel_University;Open;-84;Infra;11;-82;2017/10/23;14:38:00
EC:8C:A2:09:8C:AC;32.10401;35.20732;Ariel_University;Open;-86;Infra;44;-84;2017/10/23;14:37:44
EC:8C:A2:09:DA:68;32.10492;35.20714;Ariel_University;Open;-82;Infra;6;-80;2017/10/23;14:39:34
EC:8C:A2:09:DA:6C;32.10516;35.20715;Ariel_University;Open;-89;Infra;36;-88;2017/10/23;16:57:40
EC:8C:A2:0A:11:88;32.10398;35.20747;Ariel_University;Open;-68;Infra;1;-67;2017/10/23;14:37:07
EC:8C:A2:0A:11:8C;32.10395;35.20749;Ariel_University;Open;-77;Infra;44;-75;2017/10/23;14:37:03
EC:8C:A2:0A:11:B8;32.10396;35.20747;Ariel_University;Open;-87;Infra;6;-85;2017/10/23;14:37:05
EC:8C:A2:26:AE:28;32.10346;35.20772;Ariel_University;Open;-76;Infra;6;-73;2017/10/23;14:35:45
EC:8C:A2:26:B0:58;32.10346;35.20772;Ariel_University;Open;-79;Infra;11;-77;2017/10/23;14:35:49
EC:8C:A2:26:B0:E8;NaN;NaN;Ariel_University;Open;-5088;Infra;1;-89;2017/10/23;14:33:11
EC:8C:A2:26:B1:78;32.10305;35.20905;Ariel_University;Open;-101;Infra;11;-92;2017/10/23;12:48:56
EC:8C:A2:26:D2:98;32.10518;35.20700;Ariel_University;Open;-72;Infra;1;-63;2017/10/23;14:41:50
EC:8C:A2:26:D2:C8;32.10519;35.20704;Ariel_University;Open;-41;Infra;6;-39;2017/10/23;14:40:11
EC:8C:A2:26:D3:68;32.10341;35.20876;Ariel_University;Open;-85;Infra;11;-84;2017/10/23;14:33:59
EC:8C:A2:26:D3:C8;32.10444;35.20713;Ariel_University;Open;-68;Infra;1;-66;2017/10/23;14:38:48
EC:8C:A2:88:78:37;32.10347;35.20812;;WPA2;-77;Infra;36;-76;2017/10/23;14:35:05
EC:8C:A2:88:78:C7;32.10305;35.20905;;WPA2;-50;Infra;36;-42;2017/10/23;12:48:54
EC:8C:A2:88:7A:17;32.10355;35.20770;;WPA2;-59;Infra;48;-58;2017/10/23;14:35:57
EC:8C:A2:88:7B:87;32.10384;35.20774;;WPA2;-59;Infra;36;-58;2017/10/23;14:36:21
EC:8C:A2:88:90:C7;32.10346;35.20772;;WPA2;-79;Infra;36;-77;2017/10/23;14:35:49
EC:8C:A2:88:94:17;32.10342;35.20876;;WPA2;-60;Infra;36;-59;2017/10/23;14:34:05
EC:8C:A2:88:95:87;32.10524;35.20725;;WPA2;-90;Infra;64;-85;2017/10/23;16:37:23
EC:8C:A2:88:A3:37;32.10401;35.20747;;WPA2;-68;Infra;36;-66;2017/10/23;14:37:10
EC:8C:A2:88:A9:27;32.10384;35.20774;;WPA2;-67;Infra;44;-66;2017/10/23;14:36:21
EC:8C:A2:88:AA:D7;32.10511;35.20712;;WPA2;-85;Infra;64;-84;2017/10/23;14:39:50
EC:8C:A2:88:AB:D7;32.10398;35.20740;;WPA2;-86;Infra;60;-84;2017/10/23;14:37:24
EC:8C:A2:89:03:37;32.10347;35.20806;;WPA2;-81;Infra;44;-80;2017/10/23;14:35:10
EC:8C:A2:89:0C:C7;32.10344;35.20774;;WPA2;-81;Infra;60;-79;2017/10/23;14:35:39
EC:8C:A2:89:8C:37;32.10346;35.20821;;WPA2;-78;Infra;44;-77;2017/10/23;14:34:57
EC:8C:A2:8A:11:87;32.10397;35.20751;;WPA2;-82;Infra;44;-81;2017/10/23;14:37:01
EC:9B:F3:26:AB:3A;NaN;NaN;SGH-I337M;WPA2;-5090;Infra;6;-91;2017/10/23;16:26:00
EC:9B:F3:83:B1:E6;NaN;NaN;AndroidAP;WPA2;-5088;Infra;6;-89;2017/10/23;13:09:54
F0:3E:90:04:D2:A8;32.10520;35.20724;Ariel_University;Open;-88;Infra;1;-87;2017/10/23;16:35:04
F0:3E:90:05:CA:18;32.10514;35.20693;Ariel_University;Open;-89;Infra;6;-87;2017/10/23;16:33:34
F0:B0:52:3E:61:C8;32.10518;35.20700;Ariel_University;Open;-70;Infra;11;-47;2017/10/23;14:42:16
F0:B0:52:3E:61:CC;32.10518;35.20700;Ariel_University;Open;-58;Infra;60;-35;2017/10/23;14:42:16
F0:B0:52:3E:C7:88;32.10518;35.20700;Ariel_University;Open;-64;Infra;1;-41;2017/10/23;14:42:16
F0:B0:52:3E:C7:8C;32.10518;35.20700;Ariel_University;Open;-66;Infra;44;-43;2017/10/23;14:42:14
F0:B0:52:3E:C7:A8;32.10519;35.20704;Ariel_University;Open;-72;Infra;1;-66;2017/10/23;14:40:25
F0:B0:52:3E:C7:AC;32.10514;35.20691;Ariel_University;Open;-70;Infra;44;-55;2017/10/23;16:58:34
F0:B0:52:3E:C7:B8;32.10516;35.20709;Ariel_University;Open;-52;Infra;6;-51;2017/10/23;16:57:46
F0:B0:52:3E:C7:BC;32.10523;35.20725;Ariel_University;Open;-59;Infra;56;-58;2017/10/23;16:57:26
F0:B0:52:3E:C8:08;32.10514;35.20691;Ariel_University;Open;-71;Infra;1;-63;2017/10/23;17:00:18
F0:B0:52:3E:C8:0C;32.10514;35.20691;Ariel_University;Open;-74;Infra;44;-63;2017/10/23;17:00:14
F0:B0:52:3E:C8:18;32.10515;35.20699;Ariel_University;Open;-64;Infra;11;-62;2017/10/23;16:57:58
F0:B0:52:3E:C8:1C;32.10516;35.20702;Ariel_University;Open;-63;Infra;52;-61;2017/10/23;16:57:55
F0:B0:52:3E:C8:28;32.10518;35.20700;Ariel_University;Open;-65;Infra;1;-55;2017/10/23;14:41:54
F0:B0:52:3E:C8:2C;32.10514;35.20691;Ariel_University;Open;-61;Infra;44;-50;2017/10/23;17:00:22
F0:B0:52:3E:C8:58;32.10485;35.20711;Ariel_University;Open;-74;Infra;1;-71;2017/10/23;14:39:26
F0:B0:52:3E:C8:5C;32.10519;35.20704;Ariel_University;Open;-77;Infra;36;-75;2017/10/23;14:40:13
F0:B0:52:3E:C8:D8;32.10519;35.20704;Ariel_University;Open;-41;Infra;1;-38;2017/10/23;14:40:17
F0:B0:52:3E:C8:DC;32.10519;35.20704;Ariel_University;Open;-38;Infra;48;-35;2017/10/23;14:40:17
F0:B0:52:3E:C8:E8;32.10519;35.20704;Ariel_University;Open;-71;Infra;6;-68;2017/10/23;14:40:15
F0:B0:52:3E:C8:EC;32.10519;35.20704;Ariel_University;Open;-63;Infra;44;-60;2017/10/23;14:40:15
F0:B0:52:3E:CA:38;32.10519;35.20704;Ariel_University;Open;-56;Infra;1;-51;2017/10/23;14:40:23
F0:B0:52:3E:CA:3C;32.10519;35.20704;Ariel_University;Open;-50;Infra;60;-47;2017/10/23;14:40:15
F0:B0:52:3E:CA:D8;32.10519;35.20704;Ariel_University;Open;-60;Infra;6;-56;2017/10/23;14:40:19
F0:B0:52:3E:CA:DC;32.10517;35.20697;Ariel_University;Open;-61;Infra;52;-59;2017/10/23;14:40:00
F0:B0:52:3E:CC:18;32.10519;35.20704;Ariel_University;Open;-58;Infra;1;-53;2017/10/23;14:40:23
F0:B0:52:3E:CC:1C;32.10519;35.20704;Ariel_University;Open;-53;Infra;36;-49;2017/10/23;14:40:19
F0:B0:52:3E:CC:78;32.10514;35.20691;Ariel_University;Open;-49;Infra;11;-40;2017/10/23;17:00:20
F0:B0:52:3E:CC:7C;32.10518;35.20700;Ariel_University;Open;-45;Infra;52;-35;2017/10/23;14:41:54
F0:B0:52:3E:CE:38;32.10514;35.20691;Ariel_University;Open;-90;Infra;11;-81;2017/10/23;17:00:16
F0:B0:52:3E:CE:3C;32.10514;35.20691;Ariel_University;Open;-92;Infra;36;-84;2017/10/23;17:00:18
F0:B0:52:3E:D0:08;32.10518;35.20700;Ariel_University;Open;-66;Infra;6;-55;2017/10/23;14:41:58
F0:B0:52:3E:D0:0C;32.10518;35.20700;Ariel_University;Open;-61;Infra;44;-50;2017/10/23;14:41:58
F0:B0:52:3E:D0:38;32.10524;35.20725;Ariel_University;Open;-53;Infra;1;-52;2017/10/23;16:37:58
F0:B0:52:3E:D0:3C;32.10525;35.20725;Ariel_University;Open;-58;Infra;44;-57;2017/10/23;16:37:54
F0:B0:52:3E:D0:98;32.10481;35.20712;Ariel_University;Open;-82;Infra;6;-80;2017/10/23;14:39:22
F0:B0:52:3E:D0:9C;32.10518;35.20703;Ariel_University;Open;-73;Infra;36;-67;2017/10/23;14:40:29
F0:B0:52:3E:D1:38;32.10519;35.20704;Ariel_University;Open;-63;Infra;11;-60;2017/10/23;14:40:15
F0:B0:52:3E:D1:3C;32.10519;35.20704;Ariel_University;Open;-60;Infra;64;-55;2017/10/23;14:40:23
F0:B0:52:3E:D1:E8;32.10485;35.20711;Ariel_University;Open;-68;Infra;11;-65;2017/10/23;14:39:26
F0:B0:52:3E:D1:EC;32.10519;35.20704;Ariel_University;Open;-70;Infra;36;-66;2017/10/23;14:40:19
F0:B0:52:3E:D3:38;NaN;NaN;Ariel_University;Open;-5092;Infra;6;-93;2017/10/23;14:42:22
F0:B0:52:3E:D3:3C;NaN;NaN;Ariel_University;Open;-5082;Infra;36;-83;2017/10/23;14:42:26
F0:B0:52:3E:D3:78;32.10514;35.20691;Ariel_University;Open;-67;Infra;6;-62;2017/10/23;16:58:08
F0:B0:52:3E:D3:7C;32.10517;35.20695;Ariel_University;Open;-71;Infra;36;-69;2017/10/23;14:40:03
F0:B0:52:3E:D4:58;32.10520;35.20721;Ariel_University;Open;-60;Infra;11;-58;2017/10/23;16:35:20
F0:B0:52:3E:D4:5C;32.10517;35.20717;Ariel_University;Open;-62;Infra;36;-61;2017/10/23;16:57:38
F0:B0:52:3E:D6:F8;32.10514;35.20691;Ariel_University;Open;-47;Infra;1;-39;2017/10/23;17:00:18
F0:B0:52:3E:D6:FC;32.10518;35.20700;Ariel_University;Open;-54;Infra;40;-45;2017/10/23;14:41:50
F0:B0:52:3E:D8:98;32.10479;35.20713;Ariel_University;Open;-58;Infra;11;-56;2017/10/23;14:39:20
F0:B0:52:3E:D8:9C;32.10477;35.20712;Ariel_University;Open;-74;Infra;36;-72;2017/10/23;14:39:18
F0:B0:52:3E:D8:E8;32.10517;35.20697;Ariel_University;Open;-72;Infra;6;-70;2017/10/23;14:40:00
F0:B0:52:3E:D8:EC;32.10519;35.20704;Ariel_University;Open;-79;Infra;36;-73;2017/10/23;14:40:21
F0:B0:52:3E:D9:B8;32.10519;35.20704;Ariel_University;Open;-72;Infra;11;-66;2017/10/23;14:40:27
F0:B0:52:3E:D9:BC;32.10518;35.20702;Ariel_University;Open;-74;Infra;56;-61;2017/10/23;14:40:47
F0:B0:52:3E:DA:18;32.10517;35.20717;Ariel_University;Open;-67;Infra;11;-66;2017/10/23;16:57:38
F0:B0:52:3E:DA:1C;32.10518;35.20700;Ariel_University;Open;-74;Infra;52;-63;2017/10/23;14:41:58
F0:B0:52:BE:61:C7;32.10518;35.20700;;WPA2;-76;Infra;60;-53;2017/10/23;14:42:07
F0:B0:52:BE:C7:87;32.10518;35.20700;;WPA2;-68;Infra;44;-45;2017/10/23;14:42:10
F0:B0:52:BE:C7:A7;32.10519;35.20704;;WPA2;-73;Infra;44;-68;2017/10/23;14:40:23
F0:B0:52:BE:C7:B7;32.10524;35.20725;;WPA2;-62;Infra;56;-61;2017/10/23;16:38:00
F0:B0:52:BE:C8:07;32.10514;35.20691;;WPA2;-70;Infra;44;-62;2017/10/23;17:00:18
F0:B0:52:BE:C8:17;32.10516;35.20702;;WPA2;-61;Infra;52;-59;2017/10/23;16:57:55
F0:B0:52:BE:C8:27;32.10514;35.20691;;WPA2;-66;Infra;44;-57;2017/10/23;17:00:20
F0:B0:52:BE:C8:57;32.10514;35.20693;;WPA2;-79;Infra;36;-77;2017/10/23;16:33:34
F0:B0:52:BE:C8:D7;32.10519;35.20704;;WPA2;-42;Infra;48;-40;2017/10/23;14:40:13
F0:B0:52:BE:C8:E7;32.10519;35.20704;;WPA2;-68;Infra;44;-65;2017/10/23;14:40:15
F0:B0:52:BE:CA:37;32.10514;35.20691;;WPA2;-61;Infra;60;-52;2017/10/23;16:58:20
F0:B0:52:BE:CA:D7;32.10517;35.20697;;WPA2;-60;Infra;52;-58;2017/10/23;14:40:00
F0:B0:52:BE:CC:17;32.10519;35.20704;;WPA2;-53;Infra;36;-49;2017/10/23;14:40:19
F0:B0:52:BE:CC:77;32.10518;35.20700;;WPA2;-50;Infra;52;-40;2017/10/23;14:41:54
F0:B0:52:BE:CE:37;32.10514;35.20691;;WPA2;-96;Infra;36;-85;2017/10/23;17:00:14
F0:B0:52:BE:D0:07;32.10514;35.20691;;WPA2;-67;Infra;44;-55;2017/10/23;17:00:24
F0:B0:52:BE:D0:37;32.10524;35.20725;;WPA2;-60;Infra;44;-59;2017/10/23;16:38:00
F0:B0:52:BE:D0:97;32.10518;35.20702;;WPA2;-85;Infra;36;-79;2017/10/23;14:40:31
F0:B0:52:BE:D1:37;32.10519;35.20704;;WPA2;-59;Infra;64;-53;2017/10/23;14:40:21
F0:B0:52:BE:D1:E7;32.10514;35.20693;;WPA2;-78;Infra;36;-72;2017/10/23;16:33:28
F0:B0:52:BE:D3:37;NaN;NaN;;WPA2;-5082;Infra;36;-83;2017/10/23;15:10:35
F0:B0:52:BE:D3:77;32.10509;35.20714;;WPA2;-80;Infra;36;-78;2017/10/23;14:39:48
F0:B0:52:BE:D4:57;32.10523;35.20725;;WPA2;-63;Infra;36;-62;2017/10/23;16:57:21
F0:B0:52:BE:D6:F7;32.10516;35.20707;;WPA2;-56;Infra;40;-55;2017/10/23;16:57:48
F0:B0:52:BE:D8:97;32.10475;35.20714;;WPA2;-77;Infra;36;-75;2017/10/23;14:39:16
F0:B0:52:BE:D8:E7;32.10518;35.20703;;WPA2;-84;Infra;36;-78;2017/10/23;14:40:29
F0:B0:52:BE:D9:B7;32.10518;35.20702;;WPA2;-74;Infra;56;-61;2017/10/23;14:40:47
F0:B0:52:BE:DA:17;32.10518;35.20700;;WPA2;-73;Infra;52;-62;2017/10/23;14:41:58
F4:F2:6D:5E:9E:EB;32.10343;35.20857;Stern19;WpaPsk;-89;Infra;1;-88;2017/10/23;14:34:30
F6:8C:50:92:61:39;NaN;NaN;DIRECT-DNDESKTOP-3KNTGJ4msIK;WPA2;-5067;Infra;1;-68;2017/10/23;14:41:17
F8:D1:11:77:77:C6;32.10339;35.20895;HelpDesk;WpaPsk;-87;Infra;4;-84;2017/10/23;14:33:41
FC:3F:DB:9C:43:33;32.10340;35.20889;DIRECT-32-HP DeskJet 3630 series;WPA2;-93;Infra;6;-91;2017/10/23;14:33:43
